,timestamp,value
519488,2025-06-02 00:00:02,35.1
15374,2025-06-02 00:00:08,36.4
761503,2025-06-02 00:00:12,18.8
266907,2025-06-02 00:00:19,73.2
459777,2025-06-02 00:00:21,3.3
568497,2025-06-02 00:00:28,6.1
457321,2025-06-02 00:00:34,45.2
410934,2025-06-02 00:00:41,10.4
237078,2025-06-02 00:00:48,6.6
426051,2025-06-02 00:00:53,64.0
28708,2025-06-02 00:00:55,86.7
802545,2025-06-02 00:00:57,11.2
61193,2025-06-02 00:00:59,34.2
169174,2025-06-02 00:01:04,16.5
467979,2025-06-02 00:01:07,71.7
248554,2025-06-02 00:01:30,54.8
262933,2025-06-02 00:01:34,79.3
609154,2025-06-02 00:01:38,53.8
139240,2025-06-02 00:01:38,14.1
202749,2025-06-02 00:01:38,70.2
44470,2025-06-02 00:01:44,57.7
932473,2025-06-02 00:02:00,43.5
203347,2025-06-02 00:02:01,93.1
146168,2025-06-02 00:02:01,73.8
278270,2025-06-02 00:02:03,23.4
196339,2025-06-02 00:02:08,59.6
236557,2025-06-02 00:02:10,17.7
744328,2025-06-02 00:02:15,10.2
282998,2025-06-02 00:02:19,50.8
55481,2025-06-02 00:02:20,66.1
318729,2025-06-02 00:02:20,80.9
753438,2025-06-02 00:02:21,26.2
649265,2025-06-02 00:02:25,69.9
11591,2025-06-02 00:02:27,83.6
712091,2025-06-02 00:02:28,31.0
994656,2025-06-02 00:02:31,42.3
276414,2025-06-02 00:02:39,40.9
478079,2025-06-02 00:02:44,56.0
341190,2025-06-02 00:02:46,20.9
472325,2025-06-02 00:02:47,78.6
934573,2025-06-02 00:02:48,0.8
596253,2025-06-02 00:02:48,91.9
607854,2025-06-02 00:02:54,24.6
365079,2025-06-02 00:02:59,12.8
219475,2025-06-02 00:03:07,95.6
20910,2025-06-02 00:03:19,4.8
737648,2025-06-02 00:03:22,33.1
366507,2025-06-02 00:03:23,78.9
742958,2025-06-02 00:03:23,65.1
713945,2025-06-02 00:03:29,85.6
296176,2025-06-02 00:03:31,53.0
162963,2025-06-02 00:03:33,49.3
826105,2025-06-02 00:03:37,98.0
275121,2025-06-02 00:03:39,12.1
208679,2025-06-02 00:03:41,31.9
513135,2025-06-02 00:03:43,58.3
676446,2025-06-02 00:03:44,45.1
6633,2025-06-02 00:03:47,26.1
34776,2025-06-02 00:03:49,89.7
775268,2025-06-02 00:03:51,23.3
634766,2025-06-02 00:03:52,86.3
475923,2025-06-02 00:03:53,66.2
910188,2025-06-02 00:03:55,92.5
687467,2025-06-02 00:03:58,24.4
332226,2025-06-02 00:04:00,62.7
974493,2025-06-02 00:04:00,37.8
958761,2025-06-02 00:04:02,31.8
45641,2025-06-02 00:04:03,77.7
625132,2025-06-02 00:04:05,14.3
752001,2025-06-02 00:04:05,71.2
939785,2025-06-02 00:04:09,99.4
427099,2025-06-02 00:04:12,66.7
509697,2025-06-02 00:04:12,87.2
6547,2025-06-02 00:04:20,73.3
572141,2025-06-02 00:04:23,65.5
863808,2025-06-02 00:04:31,52.5
766486,2025-06-02 00:04:32,19.1
308547,2025-06-02 00:04:35,12.1
921640,2025-06-02 00:04:37,3.1
949894,2025-06-02 00:04:47,76.0
