,timestamp,value
366172,2025-06-04 00:00:03,52.3
342945,2025-06-04 00:00:04,52.7
303274,2025-06-04 00:00:08,93.8
458528,2025-06-04 00:00:13,98.5
873511,2025-06-04 00:00:17,4.2
651808,2025-06-04 00:00:17,61.8
395945,2025-06-04 00:00:22,96.1
783138,2025-06-04 00:00:22,87.3
411285,2025-06-04 00:00:23,75.6
496999,2025-06-04 00:00:26,47.5
776222,2025-06-04 00:00:30,94.3
460259,2025-06-04 00:00:31,96.4
445400,2025-06-04 00:00:37,70.8
852412,2025-06-04 00:00:37,99.6
290592,2025-06-04 00:00:39,45.3
259446,2025-06-04 00:00:46,60.5
293131,2025-06-04 00:00:50,31.8
902743,2025-06-04 00:00:53,67.5
480926,2025-06-04 00:00:56,87.2
539551,2025-06-04 00:00:56,66.1
821192,2025-06-04 00:01:00,76.2
665360,2025-06-04 00:01:01,26.5
269437,2025-06-04 00:01:04,20.2
746752,2025-06-04 00:01:05,43.3
307091,2025-06-04 00:01:08,20.6
823810,2025-06-04 00:01:09,52.0
687942,2025-06-04 00:01:10,78.7
569827,2025-06-04 00:01:15,73.0
839955,2025-06-04 00:01:16,1.3
935265,2025-06-04 00:01:16,93.0
251129,2025-06-04 00:01:19,35.0
439687,2025-06-04 00:01:21,74.8
877034,2025-06-04 00:01:21,14.1
824118,2025-06-04 00:01:22,63.1
639944,2025-06-04 00:01:26,91.8
429407,2025-06-04 00:01:27,55.5
688303,2025-06-04 00:01:30,94.4
914385,2025-06-04 00:01:35,42.7
62951,2025-06-04 00:01:36,20.8
508618,2025-06-04 00:01:44,41.8
734975,2025-06-04 00:01:46,47.5
313756,2025-06-04 00:01:55,60.4
508376,2025-06-04 00:01:57,60.7
278021,2025-06-04 00:02:01,46.7
961355,2025-06-04 00:02:06,28.8
180469,2025-06-04 00:02:08,99.8
322439,2025-06-04 00:02:13,12.7
697388,2025-06-04 00:02:18,38.8
828233,2025-06-04 00:02:21,21.5
186755,2025-06-04 00:02:23,2.6
574034,2025-06-04 00:02:28,5.2
71312,2025-06-04 00:02:31,59.8
260056,2025-06-04 00:02:43,95.4
434305,2025-06-04 00:02:50,62.1
339661,2025-06-04 00:02:59,64.7
327678,2025-06-04 00:03:04,78.4
566094,2025-06-04 00:03:09,98.9
183076,2025-06-04 00:03:12,59.4
68045,2025-06-04 00:03:19,33.8
797695,2025-06-04 00:03:20,7.2
847871,2025-06-04 00:03:22,65.0
751629,2025-06-04 00:03:25,59.4
908707,2025-06-04 00:03:25,26.0
809689,2025-06-04 00:03:28,9.5
410139,2025-06-04 00:03:32,6.8
423929,2025-06-04 00:03:35,2.0
337716,2025-06-04 00:03:41,45.9
327843,2025-06-04 00:03:43,60.3
714111,2025-06-04 00:03:49,13.5
316430,2025-06-04 00:03:52,77.6
180188,2025-06-04 00:03:56,18.6
451226,2025-06-04 00:04:02,91.3
118173,2025-06-04 00:04:05,15.6
928411,2025-06-04 00:04:18,15.5
808563,2025-06-04 00:04:18,6.6
170554,2025-06-04 00:04:30,84.8
408528,2025-06-04 00:04:32,52.7
916653,2025-06-04 00:04:34,92.6
341649,2025-06-04 00:04:36,83.6
358350,2025-06-04 00:04:36,26.5
415311,2025-06-04 00:04:37,13.8
274420,2025-06-04 00:04:48,45.6
705503,2025-06-04 00:04:49,97.5
757406,2025-06-04 00:04:51,31.5
386171,2025-06-04 00:04:54,30.5
23185,2025-06-04 00:04:56,36.4
127967,2025-06-04 00:04:59,98.0
181999,2025-06-04 00:04:59,67.3
440996,2025-06-04 00:05:10,30.3
362105,2025-06-04 00:05:25,35.9
888961,2025-06-04 00:05:34,10.1
434523,2025-06-04 00:05:36,24.7
623361,2025-06-04 00:05:36,56.6
780307,2025-06-04 00:05:37,67.9
168787,2025-06-04 00:05:38,67.1
66707,2025-06-04 00:05:40,92.3
274624,2025-06-04 00:05:41,31.2
158640,2025-06-04 00:05:42,87.2
195276,2025-06-04 00:05:43,37.5
724068,2025-06-04 00:05:44,21.9
14710,2025-06-04 00:05:45,6.2
62536,2025-06-04 00:05:50,56.8
964621,2025-06-04 00:05:54,7.8
49002,2025-06-04 00:05:56,59.6
458239,2025-06-04 00:05:57,13.2
714773,2025-06-04 00:06:02,75.6
468656,2025-06-04 00:06:07,64.0
811953,2025-06-04 00:06:10,16.4
740047,2025-06-04 00:06:11,68.1
62808,2025-06-04 00:06:13,14.4
165456,2025-06-04 00:06:13,55.5
639998,2025-06-04 00:06:16,51.4
515642,2025-06-04 00:06:23,45.9
553131,2025-06-04 00:06:24,54.5
656225,2025-06-04 00:06:25,22.1
76196,2025-06-04 00:06:29,78.6
734219,2025-06-04 00:06:35,78.7
508311,2025-06-04 00:06:36,52.8
129665,2025-06-04 00:06:40,60.1
293039,2025-06-04 00:06:41,12.0
557169,2025-06-04 00:06:47,96.5
442977,2025-06-04 00:06:50,27.9
862533,2025-06-04 00:06:52,44.3
610550,2025-06-04 00:06:56,81.6
322854,2025-06-04 00:06:58,3.4
124637,2025-06-04 00:06:59,45.9
221397,2025-06-04 00:07:04,29.2
157561,2025-06-04 00:07:05,92.0
205946,2025-06-04 00:07:05,18.0
791741,2025-06-04 00:07:05,45.7
271490,2025-06-04 00:07:07,16.4
679202,2025-06-04 00:07:15,98.5
153798,2025-06-04 00:07:16,65.6
965530,2025-06-04 00:07:17,20.1
132841,2025-06-04 00:07:18,47.8
960878,2025-06-04 00:07:19,96.8
84781,2025-06-04 00:07:25,37.6
182960,2025-06-04 00:07:26,18.0
797353,2025-06-04 00:07:27,41.1
471809,2025-06-04 00:07:29,26.0
726484,2025-06-04 00:07:37,54.6
273967,2025-06-04 00:07:39,5.2
193746,2025-06-04 00:07:39,37.1
84156,2025-06-04 00:07:43,29.9
59526,2025-06-04 00:07:51,66.2
225475,2025-06-04 00:07:55,41.2
697992,2025-06-04 00:08:00,39.1
116462,2025-06-04 00:08:02,69.7
841159,2025-06-04 00:08:05,31.3
831263,2025-06-04 00:08:07,1.4
715373,2025-06-04 00:08:09,61.9
587974,2025-06-04 00:08:10,71.9
773234,2025-06-04 00:08:13,50.4
970716,2025-06-04 00:08:23,31.6
354526,2025-06-04 00:08:25,61.4
682764,2025-06-04 00:08:27,75.0
44250,2025-06-04 00:08:28,89.0
403692,2025-06-04 00:08:32,1.1
605883,2025-06-04 00:08:32,30.5
186448,2025-06-04 00:08:35,23.1
423542,2025-06-04 00:08:36,4.5
189585,2025-06-04 00:08:39,21.5
